,name,h_gene,t_gene,h_uniprot,t_uniprot,h_chr,t_chr,h_pos,t_pos,h_strand,t_strand,id,h_contribution,t_contribution,domain_architecture,dansy_impact,Novel_Architecture
2697,KRTAP8-1--SLC47A2,ENSG00000183640,ENSG00000180638,Q8IUC2,Q86VL8,21,17,30812697,19715116,,,DANSY_02697,,,,No Annotation,False
2698,CTAGE15--PIK3R2,ENSG00000271079,ENSG00000105647,A4D2H0,O00459,7,19,143571801,18162967,,,DANSY_02698,,IPR032498|IPR000980,IPR032498|IPR000980,Pre-existing,False
2699,P4HB--FNTA,ENSG00000185624,ENSG00000168522,P07237,P49354,17,8,81845561,43059092,,,DANSY_02699,IPR005788,,IPR005788,Pre-existing,False
2700,CPT1C--BTNL8,ENSG00000169169,ENSG00000113303,Q8TCG5,Q6UX41,19,5,49691821,180949239,,,DANSY_02700,,,,No Annotation,False
2701,PALB2--PYGO1,ENSG00000083093,ENSG00000171016,Q86YC2,Q9Y3Y4,16,15,23634862,55548910,,,DANSY_02701,,IPR001965,IPR001965,Pre-existing,False
2702,EVA1C--KCTD10,ENSG00000166979,ENSG00000110906,P58658,Q9H3F6,21,12,32503926,109469515,,,DANSY_02702,IPR000922|IPR000922,IPR000210,IPR000922|IPR000922|IPR000210,Novel,True
2703,OR51I2--TMEM94,ENSG00000187918,ENSG00000177728,Q9H344,Q12767,11,17,5453259,75498912,,,DANSY_02703,IPR017452,,IPR017452,Pre-existing,False
2704,RTL9--SSU72L1,ENSG00000243978,ENSG00000284438,Q8NET4,A0A1W2PQ27,X,11,110358848,4338245,,,DANSY_02704,,,,No Annotation,False
2705,ALS2--TAF4B,ENSG00000003393,ENSG00000141384,Q96Q42,Q92750,2,18,201705139,26335175,,,DANSY_02705,IPR000219|IPR057248|IPR059093,,IPR000219|IPR057248|IPR059093,Pre-existing,False
2706,IGHV1-69-2--SNX13,ENSG00000281990,ENSG00000071189,A0A0G2JMI3,Q9Y5W8,14,7,106737502,17839807,,,DANSY_02706,,IPR001683|IPR013937,IPR001683|IPR013937,Pre-existing,False
2707,DSCAM--MID1IP1,ENSG00000171587,ENSG00000165175,O60469,Q9NPA3,21,X,40142558,38801459,,,DANSY_02707,IPR003598|IPR003599|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003961|IPR003961,,IPR003598|IPR003599|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003598|IPR003961|IPR003961,Pre-existing,False
2708,SLMAP--TRPV3,ENSG00000163681,ENSG00000167723,Q14BN4,Q8NET8,3,17,57756548,3535573,,,DANSY_02708,,IPR005821,IPR005821,Pre-existing,False
2709,ASAP1--RIBC1,ENSG00000153317,ENSG00000158423,Q9ULH1,Q8N443,8,X,130187236,53426277,,,DANSY_02709,,,,No Annotation,False
2710,EEF1AKMT4-ECE2--CCDC170,ENSG00000284917,ENSG00000120262,P0DPD8,Q8IYT3,3,6,184284963,151617947,,,DANSY_02710,IPR041698,,IPR041698,Pre-existing,False
2711,DCAF12--TSPY4,ENSG00000198876,ENSG00000233803,Q5T6F0,P0CV99,9,Y,34096716,9338621,,,DANSY_02711,,,,No Annotation,False
2712,LIPH--ARL6IP1,ENSG00000163898,ENSG00000170540,Q8WWY8,Q15041,3,16,185524071,18801431,,,DANSY_02712,,IPR057282,IPR057282,Pre-existing,False
2713,HEMGN--CSF1R,ENSG00000136929,ENSG00000182578,Q9BXL5,P07333,9,5,97936171,150055237,,,DANSY_02713,,,,No Annotation,False
2714,CXCL2--ROPN1B,ENSG00000081041,ENSG00000114547,P19875,Q9BZX4,4,3,74098799,125983254,,,DANSY_02714,,,,No Annotation,False
2715,HSPA14--GON7,ENSG00000187522,ENSG00000170270,Q0VDF9,Q9BXV9,10,14,14855841,93202894,,,DANSY_02715,,,,No Annotation,False
2716,NIPAL4--SMLR1,ENSG00000172548,ENSG00000256162,Q0D2K0,H3BR10,5,6,157467049,130827406,,,DANSY_02716,,,,No Annotation,False
2717,SYNE4--SRSF1,ENSG00000181392,ENSG00000136450,Q8N205,Q07955,19,17,36003613,58006343,,,DANSY_02717,,IPR000504,IPR000504,Pre-existing,False
2718,NAPRT--IDI1,ENSG00000147813,ENSG00000067064,Q6XQN6,Q13907,8,10,143575622,1043301,,,DANSY_02718,IPR040727,,IPR040727,Pre-existing,False
2719,CSRP3--MIOS,ENSG00000129170,ENSG00000164654,P50461,Q9NXC5,11,7,19201954,7574098,,,DANSY_02719,,IPR031488,IPR031488,Pre-existing,False
2720,CCNE2--CCNB1IP1,ENSG00000175305,ENSG00000100814,O96020,Q9NPC3,8,14,94880224,20313468,,,DANSY_02720,IPR006671|IPR004367,,IPR006671|IPR004367,Pre-existing,False
2721,C1orf35--SHANK3,ENSG00000143793,ENSG00000251322,Q9BU76,Q9BYB0,1,22,228101339,50679312,,,DANSY_02721,IPR019315,IPR001452|IPR001478|IPR001660,IPR019315|IPR001452|IPR001478|IPR001660,Novel,True
2722,OR4X1--KLRC3,ENSG00000176567,ENSG00000205810,Q8NH49,Q07444,11,12,48263861,10416667,,,DANSY_02722,IPR017452,,IPR017452,Pre-existing,False
2723,C16orf82--ABCA5,ENSG00000234186,ENSG00000154265,Q7Z2V1,Q8WWZ7,16,17,27066927,69260338,,,DANSY_02723,,IPR003439|IPR056264,IPR003439|IPR056264,Pre-existing,False
2724,NDST4--ADAM7,ENSG00000138653,ENSG00000069206,Q9H3R1,Q9H2U9,4,8,114827763,24487187,,,DANSY_02724,IPR056793|IPR021930|IPR000863,IPR001762|IPR006586,IPR056793|IPR021930|IPR000863|IPR001762|IPR006586,Novel,True
2725,PRR23B--SIK1,ENSG00000184814,ENSG00000142178,Q6ZRT6,P57059,3,21,139019031,43418260,,,DANSY_02725,,,,No Annotation,False
2726,CCDC177--ARSA,ENSG00000267909,ENSG00000100299,Q9NQR7,P15289,14,22,69574542,50627556,,,DANSY_02726,,IPR000917,IPR000917,Pre-existing,False
2727,NLRC5--UQCC3,ENSG00000140853,ENSG00000204922,Q86WI3,Q6UW78,16,11,57065212,62671673,,,DANSY_02727,IPR041210|IPR007111|IPR041267,,IPR041210|IPR007111|IPR041267,Pre-existing,False
2728,RPS6KB2--SGO2,ENSG00000175634,ENSG00000163535,Q9UBS0,Q562F6,11,2,67428982,200536065,,,DANSY_02728,,,,No Annotation,False
2729,HLA-DMA--TBX2,ENSG00000204257,ENSG00000121068,P28067,Q13207,6,17,32948618,61408054,,,DANSY_02729,IPR001003|IPR003597,,IPR001003|IPR003597,Pre-existing,False
2730,COX18--KRIT1,ENSG00000163626,ENSG00000001631,Q8N8Q8,O00522,4,7,73068029,92199413,,,DANSY_02730,,,,No Annotation,False
2731,TFPI--GCNT7,ENSG00000003436,ENSG00000124091,P10646,Q6ZNI0,2,20,187484124,56514085,,,DANSY_02731,IPR002223|IPR002223,,IPR002223|IPR002223,Pre-existing,False
2732,OR4B1--CNOT1,ENSG00000175619,ENSG00000125107,Q8NGF8,A5YKK6,11,16,48216810,58534147,,,DANSY_02732,IPR017452,IPR007196,IPR017452|IPR007196,Novel,True
2733,PAX7--MACIR,ENSG00000009709,ENSG00000181751,P23759,Q96GV9,1,5,18700653,103275897,,,DANSY_02733,IPR001523|IPR001356,,IPR001523|IPR001356,Pre-existing,False
2734,ATP2A1--MYBL2,ENSG00000196296,ENSG00000101057,O14983,P10244,16,20,28879099,43711488,,,DANSY_02734,,,,No Annotation,False
2735,SPACA1--GSDME,ENSG00000118434,ENSG00000105928,Q9HBV2,O60443,6,7,88064099,24698355,,,DANSY_02735,,,,No Annotation,False
2736,TMEM86B--ECPAS,ENSG00000180089,ENSG00000136813,Q8N661,Q5VYK3,19,9,55226638,111397030,,,DANSY_02736,,IPR055443,IPR055443,Pre-existing,False
2737,ZBTB7B--USP46,ENSG00000160685,ENSG00000109189,O15156,P62068,1,4,155016220,52659115,,,DANSY_02737,IPR000210|IPR013087|IPR013087|IPR013087|IPR013087,IPR001394,IPR000210|IPR013087|IPR013087|IPR013087|IPR013087|IPR001394,Novel,True
2738,POLR1C--MDM1,ENSG00000171453,ENSG00000111554,O15160,Q8TC05,6,12,43520066,68314948,,,DANSY_02738,,,,No Annotation,False
2739,ADAMTS5--PLAU,ENSG00000154736,ENSG00000122861,Q9UNA0,P00749,21,10,26965288,73913290,,,DANSY_02739,,IPR001254,IPR001254,Pre-existing,False
2740,SEPTIN5--DNASE2,ENSG00000184702,ENSG00000105612,Q99719,O00115,22,19,19720320,12880802,,,DANSY_02740,,,,No Annotation,False
2741,GOLGA8G--OR52W1,ENSG00000183629,ENSG00000175485,P0DX53,Q6IF63,15,11,28527185,6199224,,,DANSY_02741,,IPR017452,IPR017452,Pre-existing,False
2742,VWA1--CCDC88A,ENSG00000179403,ENSG00000115355,Q6PCB0,Q3V6T2,1,2,1435690,55315928,,,DANSY_02742,,,,No Annotation,False
2743,RAD54L2--MTSS1,ENSG00000164080,ENSG00000170873,Q9Y4B4,O43312,3,8,51635593,124550784,,,DANSY_02743,,IPR003124,IPR003124,Pre-existing,False
2744,IMPACT--GALP,ENSG00000154059,ENSG00000197487,Q9P2X3,Q9UBC7,18,19,24448093,56182172,,,DANSY_02744,IPR006575,,IPR006575,Pre-existing,False
2745,TBCK--PDGFRL,ENSG00000145348,ENSG00000104213,Q8TEA7,Q15198,4,8,106041599,17642613,,,DANSY_02745,IPR000719|IPR000195|IPR001763,,IPR000719|IPR000195|IPR001763,Pre-existing,False
2746,HPS4--OSR1,ENSG00000100099,ENSG00000143867,Q9NQG7,Q8TAX0,22,2,26472302,19358341,,,DANSY_02746,IPR043987,IPR013087|IPR013087|IPR013087,IPR043987|IPR013087|IPR013087|IPR013087,Novel,True
2747,SIL1--CALML4,ENSG00000120725,ENSG00000129007,Q9H173,Q96GE6,5,15,138951171,68197440,,,DANSY_02747,IPR013918,IPR002048,IPR013918|IPR002048,Novel,True
2748,TMEM60--RDH10,ENSG00000135211,ENSG00000121039,Q9H2L4,Q8IZV5,7,8,77793728,73319096,,,DANSY_02748,,,,No Annotation,False
2749,SLC16A3--NEIL3,ENSG00000141526,ENSG00000109674,O15427,Q8TAT5,17,4,82236729,177353308,,,DANSY_02749,,IPR010666|IPR010666,IPR010666|IPR010666,Pre-existing,False
2750,BROX--CISD2,ENSG00000162819,ENSG00000145354,Q5VW32,Q8N5K1,1,4,222725450,102887341,,,DANSY_02750,,,,No Annotation,False
2751,SSX2--CYP2W1,ENSG00000241476,ENSG00000073067,Q16385,Q8TAV3,X,7,52705681,987347,,,DANSY_02751,,,,No Annotation,False
2752,RITA1--KCNK18,ENSG00000139405,ENSG00000186795,Q96K30,Q7Z418,12,10,113185721,117201159,,,DANSY_02752,,IPR013099|IPR013099,IPR013099|IPR013099,Pre-existing,False
2753,ZNF519--SEMA5B,ENSG00000175322,ENSG00000082684,Q8TB69,Q9P283,18,3,14132275,123027464,,,DANSY_02753,,IPR001627|IPR016201|IPR057563,IPR001627|IPR016201|IPR057563,Pre-existing,False
2754,SCOC--POLR3C,ENSG00000153130,ENSG00000186141,Q9UIL1,Q9BUI4,4,1,140380962,145833490,,,DANSY_02754,,IPR055207,IPR055207,Pre-existing,False
2755,SCGB2B2--GAD2,ENSG00000205209,ENSG00000136750,Q4G0G5,Q05329,19,10,34590644,26224539,,,DANSY_02755,,,,No Annotation,False
2756,TBC1D28--PPP2R3B,ENSG00000189375,ENSG00000167393,Q2M2D7,Q9Y5P8,17,X,18641022,338604,,,DANSY_02756,,,,No Annotation,False
2757,BLID--ANKRD22,ENSG00000259571,ENSG00000152766,Q8IZY5,Q5VYY1,11,10,122115340,88823280,,,DANSY_02757,,,,No Annotation,False
2758,TMEM215--GLIPR1,ENSG00000188133,ENSG00000139278,Q68D42,P48060,9,12,32784126,75490406,,,DANSY_02758,,,,No Annotation,False
2759,SSBP4--LYRM7,ENSG00000130511,ENSG00000186687,Q9BWG4,Q5U5X0,19,5,18427898,131182229,,,DANSY_02759,,,,No Annotation,False
2760,TRIB1--PHOX2A,ENSG00000173334,ENSG00000165462,Q96RU8,O14813,8,11,125436006,72243788,,,DANSY_02760,IPR000719,IPR001356,IPR000719|IPR001356,Novel,True
2761,SIN3B--AFMID,ENSG00000127511,ENSG00000183077,O75182,Q63HM1,19,17,16866373,78190970,,,DANSY_02761,IPR013194,IPR013094,IPR013194|IPR013094,Novel,True
2762,IGLV9-49--CSTA,ENSG00000223350,ENSG00000121552,A0A0B4J1Y8,P01040,22,3,22343187,122341439,,,DANSY_02762,,,,No Annotation,False
2763,IGLV1-50--ZFR,ENSG00000211645,ENSG00000056097,A0A075B6I6,Q96KR1,22,5,22327507,32417648,,,DANSY_02763,IPR003599,IPR003604|IPR003604|IPR003604|IPR006561,IPR003599|IPR003604|IPR003604|IPR003604|IPR006561,Novel,True
2764,ZNF837--SLC26A6,ENSG00000152475,ENSG00000225697,Q96EG3,Q9BXS9,19,3,58367623,48630438,,,DANSY_02764,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR002645,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR002645,Novel,True
2765,PLEKHG5--IGF2,ENSG00000171680,ENSG00000167244,O94827,P01344,1,11,6474451,2133517,,,DANSY_02765,,IPR013576,IPR013576,Pre-existing,False
2766,TRIM59--CD8B2,ENSG00000213186,ENSG00000254126,Q8IWR1,A6NJW9,3,2,160449717,106502474,,,DANSY_02766,,,,No Annotation,False
2767,CD164--SLC39A6,ENSG00000135535,ENSG00000141424,Q04900,Q13433,6,18,109376074,36112501,,,DANSY_02767,,,,No Annotation,False
2768,ANO8--TMEM255A,ENSG00000074855,ENSG00000125355,Q9HCE9,Q5JRV8,19,X,17327438,120291251,,,DANSY_02768,IPR049452,,IPR049452,Pre-existing,False
2769,TRDC--ZNF217,ENSG00000211829,ENSG00000171940,B7Z8K6,O75362,14,20,22462932,53593756,,,DANSY_02769,IPR003597,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR003597|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Novel,True
2770,TRIM33--ZMAT4,ENSG00000197323,ENSG00000165061,Q9UPN9,Q9H898,1,8,114464270,40581165,,,DANSY_02770,IPR001841,IPR003604,IPR001841|IPR003604,Novel,True
2771,CCDC144A--ZNF318,ENSG00000170160,ENSG00000171467,A2RUR9,Q5VUA4,17,6,16720517,43342112,,,DANSY_02771,,IPR003604,IPR003604,Pre-existing,False
2772,ARHGAP36--TIGD5,ENSG00000147256,ENSG00000179886,Q6ZRI8,Q53EQ6,X,8,131081524,143597831,,,DANSY_02772,,IPR007889|IPR006600|IPR004875,IPR007889|IPR006600|IPR004875,Pre-existing,False
2773,STX2--ADGRE1,ENSG00000111450,ENSG00000174837,P32856,Q14246,12,19,130808631,6897149,,,DANSY_02773,,IPR000742|IPR000742|IPR000742|IPR000742|IPR000742|IPR057244|IPR017981,IPR000742|IPR000742|IPR000742|IPR000742|IPR000742|IPR057244|IPR017981,Pre-existing,False
2774,MARCHF8--PRR29,ENSG00000165406,ENSG00000224383,Q5T0T0,P0C7W0,10,17,45533110,64001733,,,DANSY_02774,,,,No Annotation,False
2775,PHC1--TMEM80,ENSG00000111752,ENSG00000177042,P78364,Q96HE8,12,11,8922633,702945,,,DANSY_02775,,,,No Annotation,False
2776,ALG5--ACY3,ENSG00000120697,ENSG00000132744,Q9Y673,Q96HD9,13,11,36952514,67647516,,,DANSY_02776,IPR001173,IPR055438|IPR007036,IPR001173|IPR055438|IPR007036,Novel,True
2777,EIF2AK1--EPSTI1,ENSG00000086232,ENSG00000133106,Q9BQI3,Q96J88,7,13,6022247,42991978,,,DANSY_02777,IPR054521|IPR000719,,IPR054521|IPR000719,Pre-existing,False
2778,FLCN--ASIC1,ENSG00000154803,ENSG00000110881,Q8NFG4,P78348,17,12,17216380,50057596,,,DANSY_02778,IPR037520,,IPR037520,Pre-existing,False
2779,AGBL4--FYN,ENSG00000186094,ENSG00000010810,Q5VU57,P06241,1,6,48663152,111872968,,,DANSY_02779,IPR040626,IPR001452|IPR000980|IPR000719,IPR040626|IPR001452|IPR000980|IPR000719,Novel,True
2780,TBC1D22A--CTHRC1,ENSG00000054611,ENSG00000164932,Q8WUA7,Q96CG8,22,8,46792520,103378027,,,DANSY_02780,,,,No Annotation,False
2781,ERG--APOA1,ENSG00000157554,ENSG00000118137,P11308,P02647,21,11,38423410,116837001,,,DANSY_02781,,,,No Annotation,False
2782,PLEKHO1--SCYGR3,ENSG00000023902,ENSG00000284704,Q53GL0,A0A286YF60,1,2,150156911,227614538,,,DANSY_02782,IPR001849,,IPR001849,Pre-existing,False
2783,WNK2--HOMER3,ENSG00000165238,ENSG00000051128,Q9Y3S1,Q9NSC5,9,19,93262670,18934303,,,DANSY_02783,IPR000719|IPR024678,,IPR000719|IPR024678,Pre-existing,False
2784,HIPK2--CENATAC,ENSG00000064393,ENSG00000186166,Q9H2X6,Q86UT8,7,11,139715932,119012149,,,DANSY_02784,,,,No Annotation,False
2785,MRPL23--TMSB15B,ENSG00000214026,ENSG00000158427,Q16540,P0CG35,11,X,1952127,103965539,,,DANSY_02785,,,,No Annotation,False
2786,SMLR1--HIF3A,ENSG00000256162,ENSG00000124440,H3BR10,Q9Y2N7,6,19,130834870,46339525,,,DANSY_02786,,,,No Annotation,False
2787,SAXO5--PPARD,ENSG00000198723,ENSG00000112033,Q8NA69,Q03181,19,6,7504121,35410987,,,DANSY_02787,,IPR001628|IPR000536,IPR001628|IPR000536,Pre-existing,False
2788,TRIM34--RFFL,ENSG00000258659,ENSG00000092871,Q9BYJ4,Q8WZ73,11,17,5643144,35016370,,,DANSY_02788,IPR001841|IPR000315|IPR001870,IPR055111|IPR001841,IPR001841|IPR000315|IPR001870|IPR055111|IPR001841,Novel,True
2789,OLIG2--DNAJA2,ENSG00000205927,ENSG00000069345,Q13516,O60884,21,16,33026801,46959275,,,DANSY_02789,IPR011598,,IPR011598,Pre-existing,False
2790,MYH3--PRRC2B,ENSG00000109063,ENSG00000288701,P11055,Q5JSZ5,17,9,10644351,131478474,,,DANSY_02790,IPR004009,,IPR004009,Pre-existing,False
2791,MRPL38--RIOX2,ENSG00000204316,ENSG00000170854,Q96DV4,Q8IUF8,17,3,75902020,97954392,,,DANSY_02791,,IPR046799,IPR046799,Pre-existing,False
2792,LSP1--RHBDF2,ENSG00000130592,ENSG00000129667,P33241,Q6PJF5,11,17,1883932,76477180,,,DANSY_02792,,IPR022764,IPR022764,Pre-existing,False
2793,CD55--PITPNM3,ENSG00000196352,ENSG00000091622,P08174,Q9BZ71,1,17,207339397,6556385,,,DANSY_02793,IPR000436|IPR000436|IPR000436|IPR000436,IPR004177|IPR031315,IPR000436|IPR000436|IPR000436|IPR000436|IPR004177|IPR031315,Novel,True
2794,OLFM1--FBXO31,ENSG00000130558,ENSG00000103264,Q99784,Q5XUX0,9,16,135095864,87383405,,,DANSY_02794,IPR022082,IPR001810,IPR022082|IPR001810,Novel,True
2795,ZNF770--NADK,ENSG00000198146,ENSG00000008130,Q6IQ21,O95544,15,1,34988116,1751232,,,DANSY_02795,,,,No Annotation,False
2796,CACNB2--PRKCB,ENSG00000165995,ENSG00000166501,Q08289,P05771,10,16,18498355,24172270,,,DANSY_02796,IPR046937,IPR000961,IPR046937|IPR000961,Novel,True
2797,ACSL4--SLURP1,ENSG00000068366,ENSG00000126233,O60488,P55000,X,8,109681266,142742328,,,DANSY_02797,,IPR016054,IPR016054,Pre-existing,False
2798,TTYH2--RBM6,ENSG00000141540,ENSG00000004534,Q9BSA4,P78332,17,3,74253755,49962576,,,DANSY_02798,,IPR000504|IPR000504|IPR035617|IPR000467,IPR000504|IPR000504|IPR035617|IPR000467,Pre-existing,False
2799,FBXO39--CFHR1,ENSG00000177294,ENSG00000244414,Q8N4B4,Q03591,17,1,6787300,196825477,,,DANSY_02799,IPR001810,IPR000436|IPR000436|IPR000436|IPR000436|IPR000436,IPR001810|IPR000436|IPR000436|IPR000436|IPR000436|IPR000436,Novel,True
2800,TOMM22--BRICD5,ENSG00000100216,ENSG00000182685,Q9NS69,Q6PL45,22,16,38683767,2210522,,,DANSY_02800,,IPR007084,IPR007084,Pre-existing,False
2801,SLC25A16--RNF150,ENSG00000122912,ENSG00000170153,P16260,Q9ULK6,10,4,68488467,140859807,,,DANSY_02801,,,,No Annotation,False
2802,SELENOH--SCRT1,ENSG00000211450,ENSG00000261678,Q8IZQ5,Q9BWW7,11,8,57741491,144330565,,,DANSY_02802,,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Pre-existing,False
2803,MRPS12--RNF223,ENSG00000128626,ENSG00000237330,O15235,E7ERA6,19,1,38932333,1070967,,,DANSY_02803,,IPR001841,IPR001841,Pre-existing,False
2804,GNS--HTN3,ENSG00000135677,ENSG00000205649,P15586,P15516,12,4,64743141,70031979,,,DANSY_02804,,,,No Annotation,False
2805,USP17L23--TADA2A,ENSG00000250913,ENSG00000276234,D6RBM5,O75478,4,17,9272364,37467454,,,DANSY_02805,IPR001394,IPR007526,IPR001394|IPR007526,Novel,True
2806,MERTK--LINGO2,ENSG00000153208,ENSG00000174482,Q12866,Q7L985,2,9,112022258,28372836,,,DANSY_02806,IPR003599|IPR003599|IPR003961|IPR003961,IPR000372|IPR003598,IPR003599|IPR003599|IPR003961|IPR003961|IPR000372|IPR003598,Novel,True
2807,PHF14--FBXL8,ENSG00000106443,ENSG00000135722,O94880,Q96CD0,7,16,11022868,67161735,,,DANSY_02807,IPR001965,IPR001810,IPR001965|IPR001810,Pre-existing,False
2808,SYT2--VGLL2,ENSG00000143858,ENSG00000170162,Q8N9I0,Q8N8G2,1,6,202601890,117268182,,,DANSY_02808,IPR000008,,IPR000008,Pre-existing,False
2809,C15orf39--SLC25A22,ENSG00000167173,ENSG00000177542,Q6ZRI6,Q9H936,15,11,75210749,790475,,,DANSY_02809,,,,No Annotation,False
2810,DHX33--ERCC6L2,ENSG00000005100,ENSG00000182150,Q9H6R0,Q5T890,17,9,5462319,96012225,,,DANSY_02810,,,,No Annotation,False
2811,RAC2--NCAPG,ENSG00000128340,ENSG00000109805,P15153,Q9BPX3,22,4,37232801,17810979,,,DANSY_02811,,IPR025977,IPR025977,Pre-existing,False
2812,CACNA2D4--ZNF730,ENSG00000151062,ENSG00000183850,Q7Z3S7,Q6ZMV8,12,19,1887009,23145271,,,DANSY_02812,IPR013608,IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR013608|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Novel,True
2813,CLEC16A--ATG5,ENSG00000038532,ENSG00000057663,Q2KHT3,Q9H1Y0,16,6,10972938,106308364,,,DANSY_02813,IPR019155,IPR048940|IPR048318,IPR019155|IPR048940|IPR048318,Novel,True
2814,LOXL4--ZNF26,ENSG00000138131,ENSG00000198393,Q96JB6,P17031,10,12,98257650,133007042,,,DANSY_02814,IPR001190|IPR001190|IPR001190,IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,IPR001190|IPR001190|IPR001190|IPR001909|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087|IPR013087,Novel,True
2815,MYCBP--EIF4E1B,ENSG00000214114,ENSG00000175766,Q99417,A6NMX2,1,5,38867562,176643082,,,DANSY_02815,,,,No Annotation,False
2816,AP3S2--TBRG1,ENSG00000157823,ENSG00000154144,P59780,Q3YBR2,15,11,89889049,124622864,,,DANSY_02816,,,,No Annotation,False
2817,TBC1D3H--MRGPRX4,ENSG00000274226,ENSG00000179817,P0C7X1,Q96LA9,17,11,36385254,18172837,,,DANSY_02817,,IPR017452,IPR017452,Pre-existing,False
2818,CD44--NCOA7,ENSG00000026508,ENSG00000111912,P16070,Q8NI08,11,6,35198121,125922682,,,DANSY_02818,IPR000538,,IPR000538,Pre-existing,False
2819,ACBD6--FAM90A1,ENSG00000230124,ENSG00000171847,Q9BR61,Q86YD7,1,12,180314692,8224016,,,DANSY_02819,IPR000582,IPR041670,IPR000582|IPR041670,Novel,True
2820,ABHD14A--GPHN,ENSG00000248487,ENSG00000171723,Q9BUJ0,Q9NQX3,3,14,51980836,67113018,,,DANSY_02820,IPR000073,IPR001453|IPR005111,IPR000073|IPR001453|IPR005111,Novel,True
2821,SLC22A12--B2M,ENSG00000197891,ENSG00000166710,Q96S37,P61769,11,15,64600367,44716329,,,DANSY_02821,,,,No Annotation,False
2822,EHD3--KLHL42,ENSG00000013016,ENSG00000087448,Q9NZN3,Q9P2K6,2,12,31266177,27780233,,,DANSY_02822,IPR031692|IPR030381|IPR040990|IPR000261,IPR000210|IPR011705|IPR056737,IPR031692|IPR030381|IPR040990|IPR000261|IPR000210|IPR011705|IPR056737,Novel,True
2823,DEAF1--FBP2,ENSG00000177030,ENSG00000130957,O75398,O00757,11,9,680963,94587307,,,DANSY_02823,IPR000770,IPR044015,IPR000770|IPR044015,Novel,True
2824,MARK4--SALL3,ENSG00000007047,ENSG00000256463,Q96L34,Q9BXA9,19,18,45278516,78996891,,,DANSY_02824,IPR000719,,IPR000719,Pre-existing,False
2825,GLO1--ALAS1,ENSG00000124767,ENSG00000023330,Q04760,P13196,6,3,38684374,52198672,,,DANSY_02825,,IPR015118|IPR004839,IPR015118|IPR004839,Pre-existing,False
2826,KRT6A--CEP19,ENSG00000205420,ENSG00000174007,P02538,Q96LK0,12,3,52487176,196708528,,,DANSY_02826,IPR032444|IPR039008,,IPR032444|IPR039008,Pre-existing,False
2827,BCL6B--TTLL9,ENSG00000161940,ENSG00000131044,Q8N143,Q3SXZ7,17,20,7023050,31933800,,,DANSY_02827,,,,No Annotation,False
2828,POTEB2--PTGR2,ENSG00000230031,ENSG00000140043,H3BUK9,Q8N8N7,15,14,20848493,73874023,,,DANSY_02828,,IPR013149,IPR013149,Pre-existing,False
2829,HABP2--ANXA10,ENSG00000148702,ENSG00000109511,Q14520,Q9UJ72,10,4,113553053,168187366,,,DANSY_02829,,,,No Annotation,False
2830,OR52N1--PCOLCE2,ENSG00000181001,ENSG00000163710,Q8NH53,Q9UKZ9,11,3,5786471,142838770,,,DANSY_02830,IPR017452,IPR001134,IPR017452|IPR001134,Novel,True
2831,KRTAP12-4--NAGA,ENSG00000212933,ENSG00000198951,P60329,P17050,21,22,44654213,42062827,,,DANSY_02831,,IPR035373,IPR035373,Pre-existing,False
2832,NAA15--CCNP,ENSG00000164134,ENSG00000105219,Q9BXJ9,Q9H8S5,4,19,139334174,40223388,,,DANSY_02832,,,,No Annotation,False
2833,TENT5C--CEACAM5,ENSG00000183508,ENSG00000105388,Q5VWP2,P06731,1,19,117606048,41715650,,,DANSY_02833,,IPR003598|IPR003598|IPR003598|IPR003598|IPR003598,IPR003598|IPR003598|IPR003598|IPR003598|IPR003598,Pre-existing,False
2834,LLGL2--PNPLA2,ENSG00000073350,ENSG00000177666,Q6P1M3,Q96AD5,17,11,75574610,823527,,,DANSY_02834,IPR013577,,IPR013577,Pre-existing,False
2835,DOT1L--LAMTOR1,ENSG00000104885,ENSG00000149357,Q8TEK3,Q6IAA8,19,11,2163933,72098289,,,DANSY_02835,,,,No Annotation,False
